Invoice_ID,Sale_Date,State,City,Salesperson,Customer_Type,Brand,Model,Segment,Fuel_Type,Transmission,ExShowroom_Price,RTO,Insurance,Accessories,Discount,Final_Sale_Price,Cost_Price,Profit,Profit_Margin_%
INV1000,2024-02-24,Maharashtra,Pune,Vincent Tara,Individual,Honda,City,Sedan,Petrol,Manual,1240362,130166.31,40107.5,43312,62619,1391328.81,1084976.15,306352.66,22.02
INV1001,2024-09-11,Maharashtra,Mumbai,Praneel Rout,Corporate,Toyota,Innova Crysta,MPV,Electric,Manual,1903933,184602.96,70161.03,30762,17947,2171511.99,1678366.97,493145.02,22.71
INV1002,2024-12-13,Maharashtra,Mumbai,Kashish Randhawa,Government,Honda,City,Sedan,Electric,Manual,1364300,124486.77,50647.54,14978,67592,1486820.31,1176179.45,310640.87,20.89
INV1003,2024-03-25,Madhya Pradesh,Bhopal,Vansha Talwar,Government,Maruti Suzuki,Baleno,Hatchback,Electric,Automatic,702830,66425.18,22595.21,22033,35689,778194.39,611340.61,166853.79,21.44
INV1004,2024-05-18,Karnataka,Bangalore,Kabir Korpal,Individual,Honda,City,Sedan,Electric,Automatic,1464897,138652.16,55681.14,37095,17290,1679035.3,1330727.57,348307.72,20.74
INV1005,2024-05-01,Karnataka,Bangalore,Arin Badal,Individual,Maruti Suzuki,Swift,Hatchback,CNG,Automatic,788040,86900.06,26801.75,25207,59453,867495.81,706271.32,161224.49,18.59
INV1006,2024-02-26,Madhya Pradesh,Jabalpur,Hemangini Sani,Individual,MG,Hector,SUV,Electric,Automatic,2222766,207998.94,80117.03,32721,26951,2516651.97,1930013.16,586638.81,23.31
INV1007,2024-09-09,Karnataka,Mysore,Janani Kara,Government,Tata,Punch,Hatchback,CNG,Manual,638656,75443.66,20085.31,41100,56243,719041.97,550072.13,168969.83,23.5
INV1008,2024-04-04,Madhya Pradesh,Bhopal,Chandresh Gala,Corporate,Mahindra,Scorpio-N,SUV,Diesel,Automatic,2289332,224490.91,88803.78,49421,23104,2628943.69,2046357.26,582586.43,22.16
INV1009,2025-10-14,Karnataka,Bangalore,Zilmil Loyal,Corporate,Tata,Punch,Hatchback,Petrol,Manual,991784,110344.19,37110.58,36652,33897,1141993.77,861963.21,280030.56,24.52
INV1010,2024-08-12,Delhi,New Delhi,Urvashi Bir,Government,Tata,Nexon,SUV,CNG,Automatic,1481907,124074.61,40467.35,40425,39387,1647486.97,1379889.91,267597.06,16.24
INV1011,2024-10-30,Maharashtra,Nagpur,Abhiram Boase,Corporate,Tata,Nexon,SUV,Diesel,Automatic,1132208,95051.34,38803.73,12290,24814,1253539.07,1051062.03,202477.04,16.15
INV1012,2024-08-12,Karnataka,Mysore,Jeet Nigam,Corporate,Hyundai,Creta,SUV,Electric,Automatic,1495206,144506.43,43894.36,33507,45384,1671729.79,1303905.97,367823.82,22.0
INV1013,2024-10-22,Madhya Pradesh,Bhopal,Turvi Gandhi,Individual,Kia,Seltos,SUV,Diesel,Manual,1575306,136263.6,44136.7,45149,39916,1760939.3,1367626.79,393312.51,22.34
INV1014,2024-08-21,Delhi,New Delhi,Elijah Mistry,Government,Maruti Suzuki,Baleno,Hatchback,CNG,Manual,996383,82510.31,31358.17,33141,68534,1074858.48,901217.76,173640.72,16.15
INV1015,2025-02-26,Delhi,New Delhi,Krishna Chhabra,Government,Mahindra,XUV700,SUV,Diesel,Automatic,2113029,211251.91,55479.67,38900,65683,2352977.59,1833026.86,519950.72,22.1
INV1016,2025-06-01,Delhi,New Delhi,Mohini Zachariah,Individual,Honda,City,Sedan,CNG,Automatic,1128915,95046.32,41871.03,13153,16468,1262517.35,1018958.83,243558.52,19.29
INV1017,2024-12-18,Madhya Pradesh,Bhopal,Dalaja Kumer,Corporate,Maruti Suzuki,Baleno,Hatchback,Petrol,Automatic,918497,83637.13,28910.21,25558,24540,1032062.34,849780.3,182282.04,17.66
INV1018,2024-06-19,Delhi,New Delhi,Krishna Devan,Government,MG,Hector,SUV,Electric,Automatic,1718967,186372.05,64389.76,16806,68768,1917766.81,1574667.59,343099.22,17.89
INV1019,2025-06-17,Maharashtra,Nagpur,Keya Sangha,Individual,Toyota,Innova Crysta,MPV,Petrol,Manual,2154635,207002.26,67745.62,6533,44081,2391834.89,1907761.77,484073.12,20.24
INV1020,2026-01-12,Maharashtra,Nagpur,Chakradev Dutt,Corporate,Mahindra,Scorpio-N,SUV,Electric,Manual,1787122,176248.66,58361.58,22093,13948,2029877.24,1557655.77,472221.48,23.26
INV1021,2024-05-31,Madhya Pradesh,Jabalpur,Amol Ahluwalia,Corporate,Hyundai,Creta,SUV,Diesel,Manual,1534894,160498.07,59708.63,41464,46118,1750446.69,1440596.11,309850.58,17.7
INV1022,2025-02-28,Delhi,New Delhi,Vanya Sarna,Individual,Hyundai,i20,Hatchback,CNG,Automatic,841169,99115.22,26951.64,16969,14124,970080.86,786780.29,183300.57,18.9
